link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/19675/influencia-do-processo-de-revascularizacao-sobre-a-remodelacao-de-enxertos-osseos-onlay-estudo-hi/,Transplante ósseo,7117
/pt/auxilios/19692/estudo-in-vitro-dos-efeitos-de-diferentes-tecnicas-de-clareamento-para-dentes-nao-vitais-no-esmalt/,Resistência de união (odontologia)##Esmalte##Dentina##Microdureza,11235##173540##5663##159666
/pt/auxilios/18618/analise-proteomica-do-biofilme-dental-formado-na-presenca-e-ausencia-de-sacarose-in-situ/,Proteínas##Cálcio##Sacarose,454##1596##3259
/pt/auxilios/19881/expressao-temporal-de-c-fos-em-estruturas-neurais-relacionadas-a-anti-nocicepcao-apos-movimentacao/,Ortodontia##Extrusão ortodôntica##Dente molar##Mecanorreceptores##Neurônios##Sistema nervoso central##Nociceptividade,158147##163700##18235##153822##2192##666##157770
/pt/auxilios/19897/avaliacao-da-resistencia-de-uniao-entre-dente-artificial-e-resinas-para-bases-de-proteses-efeito-de/,Dente artificial##Resistência de união (odontologia)##Resinas acrílicas##Micro-ondas,11869##11235##8052##160855
/pt/auxilios/18981/estudo-comparativo-de-tres-sistemas-digitais-sem-cabo-no-diagnostico-de-caries-proximas/,Cárie dentária##Sensores##Imagem digital,311##162364##2025
/pt/auxilios/19267/analise-dos-haplotipos-do-gene-da-metaloprotease-da-matriz-1-e-tgf-b1-correlacao-com-a-severidade-d/,Polimorfismo genético,151781
/pt/auxilios/18839/avaliacao-da-atividade-antimicrobiana-das-especies-vegetais-miconia-sp-piper-cubeba-zanthoxylum-n/,Espectroscopia Raman##Placa bacteriana##Cárie dentária##Produtos naturais##Controle químico,2617##313##311##409##2444
/pt/auxilios/19401/estudo-cinesiografico-da-degluticao-em-individuos-dentados-e-desdentados/,Oclusão dentária##Prótese total##Deglutição,28091##4600##151916
/pt/auxilios/19711/avaliacao-in-vitro-dos-metodos-de-preparo-cavitario-na-resistencia-de-uniao-de-restauracoes-de-resin/,Resistência de união (odontologia)##Adesivos dentinários##Microtração##Laser do estado sólido##Microscopia eletrônica de varredura,11235##15631##159861##2517##7819
/pt/auxilios/18336/avaliacao-clinica-e-laboratorial-de-dois-metodos-de-remocao-do-biofilme-da-dentadura/,Prótese total##Placa bacteriana##Higienização##Escovação dentária##Dentifrícios##Evidenciação de placa bacteriana,4600##313##170104##150244##151504##159496
/pt/auxilios/18875/avaliacao-da-eficacia-de-primers-adesivos-na-resistencia-ao-cisalhamento-da-uniao-entre-cimentos-res/,Ligas dentárias##Cimentos dentários##Propriedades mecânicas,7817##8915##1372
/pt/auxilios/19265/estudo-da-longevidade-da-uniao-de-adesivos-autocondicionantes-aplicados-ao-esmalte-de-dentes-permane/,Microtração##Esmalte dentário##Microscopia eletrônica,159861##2231##3862
/pt/auxilios/19457/estudo-de-novas-tecnologias-empregadas-no-diagnostico-das-lesoes-de-carie/,Laser,1613
/pt/auxilios/19093/efeito-da-smear-layer-nos-procedimentos-adesivos-com-sistemas-autocondicionantes/,Resistência à tração##Dentina,6463##5663
/pt/auxilios/19148/avaliacao-morfometrica-e-estereometrica-dos-tecidos-periodontais-de-ratos-imunossuprimidos-por-tacro/,Fosfatase alcalina##Tacrolimo##Ciclosporinas,8895##17859##158598
/pt/auxilios/19368/influencia-das-tecnicas-de-preparo-cavitario-e-aplicacao-do-primer-na-resistencia-de-uniao-de-um-s/,Microtração##Camada de esfregaço,159861##151567
/pt/auxilios/19387/associacao-entre-polimorfismos-no-gene-do-receptor-de-vitamina-d-vdr-e-alteracoes-salivares/,Vitamina D##Polimorfismo genético##Saliva##Cálcio##Fósforo,3278##151781##4724##1596##1542
/pt/auxilios/19595/influencia-do-metodo-de-processamento-na-resistencia-a-flexao-e-dureza-de-ceramicas-convencionais-e/,Porcelana dentária,19804
/pt/auxilios/19051/estudo-clinico-comparativo-entre-as-tecnicas-de-retalho-semilunar-posicionado-coronariamente-e-enxer/,Gengivoplastia##Retração gengival,162598##18232
/pt/auxilios/19389/efeito-do-curativo-de-demora-a-base-de-hidroxido-de-calcio-na-reparacao-dos-tecidos-apicais-e-periap/,Canal radicular##Microbiologia##Lesões periapicais##Hidróxido de cálcio,4844##158001##150095##5495
/pt/auxilios/19514/avaliacao-da-estabilidade-de-cor-de-resinas-indiretas-apos-envelhecimento-artificial-acelerado/,Estabilidade de cor##Envelhecimento acelerado,166044##178180
/pt/auxilios/18236/efeito-de-materiais-capeadores-pulpares-diretos-sobre-neutrofilos-humanos-estudo-in-vitro-de-quimio/,Citocinas##Inflamação##Quimiotaxia##Polpa dentária,662##665##7013##13892
/pt/auxilios/18840/analise-dos-efeitos-dos-lasers-em-baixa-intensidade-650-e-780-nm-sobre-a-acao-do-virus-herpes-simp/,Terapia a laser de baixa intensidade##Infecções por Herpesviridae##Herpes simples,10351##160282##151971
/pt/auxilios/18900/resistencia-de-uniao-e-limite-de-fadiga-da-interface-de-uniao-entre-resinas-para-reembasamento-e-res/,Ciclagem mecânica##Resinas acrílicas##Resistência de união (odontologia),162947##8052##11235
/pt/auxilios/19009/doenca-periodontal-parto-pre-termo-e-recem-nascido-de-baixo-peso-em-uma-coorte-de-gestantes/,Recém-nascido de baixo peso##Doenças periodontais,6421##5504
